일자,시가,고가,저가,종가,거래량
20170711,48640,49000,48280,49000,194356
20170712,49000,50000,48840,49880,189723
20170713,50080,50940,50040,50560,320683
20170714,51000,51080,50420,50480,164780
20170717,50900,51020,50520,50640,179522
20170718,50420,50880,50360,50840,141689
20170719,50620,50820,50000,50740,223150
20170720,50760,51320,50560,51200,167352
20170721,50860,51160,50520,51080,168981
20170724,50700,51000,50620,50860,141995
20170725,50500,50760,49940,50000,216212
20170726,49600,50020,49300,49840,224496
20170727,50000,50640,49560,49800,228990
20170728,49800,49800,47380,47760,523366
20170731,47420,48240,46920,48200,254028
20170801,48000,48840,47540,48600,227390
20170802,49200,49340,48600,49000,155549
20170803,49000,49000,47120,47780,310816
20170804,48160,48180,47500,47700,167184
20170807,47500,48080,47440,47580,144365
20170808,47980,48260,47480,47720,159592
20170809,47400,47400,46240,46280,291108
20170810,46200,46320,45460,45900,459723
20170811,45120,45300,44220,44620,508146
20170814,45120,45400,44720,45000,383712
20170816,46220,46380,46000,46200,438273
20170817,46960,47300,46740,47040,248317
20170818,46760,47240,46240,46900,209559
20170821,47240,47240,46580,46840,102069
20170822,46820,47160,46700,47000,147635
20170823,47780,47780,47180,47480,187694
20170824,47520,47660,47340,47520,173149
20170825,47880,47880,46720,47020,224871
20170828,47020,47240,45960,46100,199242
20170829,45640,46080,45160,46080,252473
20170830,46380,46400,45960,46200,150260
20170831,46220,46640,46000,46320,220234
20170901,46460,46640,46300,46480,212834
20170904,45780,46360,45500,46040,158870
20170905,46240,46900,45960,46760,234322
20170906,46760,47180,46700,47000,216221
20170907,47000,48220,47000,48120,193530
20170908,48700,49180,48580,49080,217860
20170911,49700,50180,49500,49800,207495
20170912,50200,50220,49140,49600,240595
20170913,49820,50400,49440,49620,187140
20170914,50060,50320,49760,50300,284095
20170915,50300,50560,49860,50400,215146
20170918,50540,52480,50520,52480,230499
20170919,52500,52640,51780,52120,197008
20170920,52120,52500,51840,52220,185855
20170921,52219,52960,52219,52800,176796
20170922,52960,53600,52459,53000,278448
20170925,52999,53679,52999,53620,186062
20170926,53020,53120,51560,51660,341144
20170927,52000,52200,51500,51680,215940
20170928,52260,52460,51260,51260,240509
20170929,51180,51620,50840,51280,258188
20171010,53360,53640,52799,52800,410396
20171011,53600,54760,53340,54640,273043
20171012,54840,55160,54099,54800,277814
20171013,54540,54840,53780,54000,252033
20171016,53980,54860,53760,53920,195399
20171017,54019,55380,54000,54800,212156
20171018,54820,55240,54039,54760,202215
20171019,54699,54699,52980,52980,242174
20171020,52800,54100,52800,53840,160541
20171023,54600,54640,54000,54300,166221
20171024,54699,54780,54040,54040,116121
20171025,54040,54420,53699,53900,117657
20171026,53720,53900,52400,52400,195531
20171027,52400,53320,52140,53080,147850
20171030,53780,54320,53699,54040,163923
20171031,54060,55440,53500,55080,267631
20171101,57500,57500,56179,57220,290205
20171102,57500,57519,56760,57060,214421
20171103,57059,57140,55860,56380,198716
20171106,56380,56500,55340,56380,180019
20171107,56380,56920,55860,56100,149291
20171108,56100,57060,55860,56760,170404
20171109,56920,56920,55899,56340,239881
20171110,55800,56540,55780,56400,134976
20171113,56400,56799,56100,56380,176133
